Name,Symbol,Price (USD),Market Cap (USD),24h Volume (USD),Circulating Supply,Change (24h)
Bitcoin,btc,26743,521064983590,14566165441,19512593.0,0.50577
Ethereum,eth,1544.87,185101747014,6439121932,120254931.897467,1.18742
Tether,usdt,0.999563,83501695522,14510965136,83522033056.6419,-0.01424
BNB,bnb,205.72,31623023899,282558719,153856150.0,0.56799
XRP,xrp,0.480771,25771112585,592694438,53441027384.0,-0.32928
USDC,usdc,0.999573,25093793594,4198839108,25091555022.4169,-0.04801
Lido Staked Ether,steth,1544.93,13562739633,4606740,8818042.3352825,1.30866
Solana,sol,21.54,8914143599,247602705,416121847.479751,2.05521
Cardano,ada,0.246683,8599091709,95077575,34894651873.3007,1.36647
Dogecoin,doge,0.058281,8239860062,165912759,141396456383.705,1.37603
